,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,0.0648648648649,0.105186267559,3.24324324324,5.25931337794
2,129.72972973,0.12972972973,0.420745069831,6.48648648649,21.0372534916
3,194.594594595,0.194594594595,0.946676406814,9.72972972973,47.3338203407
4,259.459459459,0.259459459459,1.68298027899,12.972972973,84.1490139493
5,324.324324324,0.324324324324,2.6296566858,16.2162162162,131.48283429
6,389.189189189,0.389189189189,3.78670562724,19.4594594595,189.335281362
7,454.054054054,0.454054054054,5.15412710332,22.7027027027,257.706355166
8,518.918918919,0.518918918919,6.73192111404,25.9459459459,336.596055702
9,583.783783784,0.583783783784,8.5200876594,29.1891891892,426.00438297
10,648.648648649,0.648648648649,10.5186267394,32.4324324324,525.931336969
11,713.513513514,0.713513513514,12.727538354,35.6756756757,636.376917701
12,778.378378378,0.778378378378,15.1468225033,38.9189189189,757.341125164
13,843.243243243,0.843243243243,17.7764791872,42.1621621622,888.823959359
14,908.108108108,0.908108108108,20.6165084057,45.4054054054,1030.82542029
15,972.972972973,0.972972972973,23.6669101589,48.6486486486,1183.34550794
16,1037.83783784,1.03783783784,26.9276844474,51.8918918919,1346.38422237
17,1102.7027027,1.1027027027,30.3988312717,55.1351351351,1519.94156359
18,1167.56756757,1.16756756757,34.0803506308,58.3783783784,1704.01753154
19,1232.43243243,1.23243243243,37.9722425245,61.6216216216,1898.61212622
20,1297.2972973,1.2972972973,42.0745069529,64.8648648649,2103.72534764
21,1362.16216216,1.36216216216,46.387143916,68.1081081081,2319.3571958
22,1427.02702703,1.42702702703,50.9101534137,71.3513513514,2545.50767069
23,1491.89189189,1.49189189189,55.6435354461,74.5945945946,2782.17677231
24,1556.75675676,1.55675675676,60.5872900132,77.8378378378,3029.36450066
25,1621.62162162,1.62162162162,65.741417115,81.0810810811,3287.07085575
26,1686.48648649,1.68648648649,71.1059167515,84.3243243243,3555.29583757
27,1751.35135135,1.75135135135,76.6807889226,87.5675675676,3834.03944613
28,1816.21621622,1.81621621622,82.4660336284,90.8108108108,4123.30168142
29,1881.08108108,1.88108108108,88.4616508689,94.0540540541,4423.08254345
30,1945.94594595,1.94594594595,94.6676406441,97.2972972973,4733.3820322
31,2010.81081081,2.01081081081,101.084002954,100.540540541,5054.2001477
32,2075.67567568,2.07567567568,107.710737798,103.783783784,5385.53688992
33,2140.54054054,2.14054054054,114.547845178,107.027027027,5727.39225888
34,2205.40540541,2.20540540541,121.595325092,110.27027027,6079.76625458
35,2270.27027027,2.27027027027,128.85317754,113.513513514,6442.658877
36,2335.13513514,2.33513513514,136.321402523,116.756756757,6816.07012616
37,2400.0,2.4,144.000000041,120.0,7200.00000206
38,2464.86486486,2.46486486486,151.888970094,123.243243243,7594.44850469
39,2529.72972973,2.52972972973,159.988312681,126.486486486,7999.41563405
40,2594.59459459,2.59459459459,168.298027803,129.72972973,8414.90139015
41,2659.45945946,2.65945945946,176.81811546,132.972972973,8840.90577298
42,2724.32432432,2.72432432432,185.548575651,136.216216216,9277.42878254
43,2789.18918919,2.78918918919,194.489408377,139.459459459,9724.47041884
44,2854.05405405,2.85405405405,203.640613637,142.702702703,10182.0306819
45,2918.91891892,2.91891891892,213.002191433,145.945945946,10650.1095716
46,2983.78378378,2.98378378378,222.574141763,149.189189189,11128.7070881
47,3048.64864865,3.04864864865,232.356464627,152.432432432,11617.8232314
48,3113.51351351,3.11351351351,242.349160027,155.675675676,12117.4580013
49,3178.37837838,3.17837837838,252.552227961,158.918918919,12627.611398
50,3243.24324324,3.24324324324,262.96566843,162.162162162,13148.2834215
51,3308.10810811,3.30810810811,273.589481433,165.405405405,13679.4740716
52,3372.97297297,3.37297297297,284.423666971,168.648648649,14221.1833485
53,3437.83783784,3.43783783784,295.468225044,171.891891892,14773.4112522
54,3502.7027027,3.5027027027,306.723155651,175.135135135,15336.1577826
55,3567.56756757,3.56756756757,318.188458793,178.378378378,15909.4229397
56,3632.43243243,3.63243243243,329.86413447,181.621621622,16493.2067235
57,3697.2972973,3.6972972973,341.750182681,184.864864865,17087.5091341
58,3762.16216216,3.76216216216,353.846603427,188.108108108,17692.3301714
59,3827.02702703,3.82702702703,366.153396708,191.351351351,18307.6698354
60,3891.89189189,3.89189189189,378.670562524,194.594594595,18933.5281262
61,3956.75675676,3.95675675676,391.398100874,197.837837838,19569.9050437
62,4021.62162162,4.02162162162,404.336011759,201.081081081,20216.8005879
63,4086.48648649,4.08648648649,417.484295178,204.324324324,20874.2147589
64,4151.35135135,4.15135135135,430.842951132,207.567567568,21542.1475566
65,4216.21621622,4.21621621622,444.411979621,210.810810811,22220.5989811
66,4281.08108108,4.28108108108,458.191380645,214.054054054,22909.5690322
67,4345.94594595,4.34594594595,472.181154203,217.297297297,23609.0577101
68,4410.81081081,4.41081081081,486.381300296,220.540540541,24319.0650148
69,4475.67567568,4.47567567568,500.791818923,223.783783784,25039.5909462
70,4540.54054054,4.54054054054,515.412710086,227.027027027,25770.6355043
71,4605.40540541,4.60540540541,530.243973783,230.27027027,26512.1986891
72,4670.27027027,4.67027027027,545.285610014,233.513513514,27264.2805007
73,4735.13513514,4.73513513514,560.53761878,236.756756757,28026.880939
74,4800.0,4.8,576.000000081,240.0,28800.0000041
75,4864.86486486,4.86486486486,591.672753917,243.243243243,29583.6376958
76,4929.72972973,4.92972972973,607.555880287,246.486486486,30377.7940144
77,4994.59459459,4.99459459459,623.649379192,249.72972973,31182.4689596
78,5059.45945946,5.05945945946,639.953250632,252.972972973,31997.6625316
79,5124.32432432,5.12432432432,656.467494606,256.216216216,32823.3747303
80,5189.18918919,5.18918918919,673.192111115,259.459459459,33659.6055558
81,5254.05405405,5.25405405405,690.127100159,262.702702703,34506.3550079
82,5318.91891892,5.31891891892,707.272461737,265.945945946,35363.6230869
83,5383.78378378,5.38378378378,724.62819585,269.189189189,36231.4097925
84,5448.64864865,5.44864864865,742.194302498,272.432432432,37109.7151249
85,5513.51351351,5.51351351351,759.97078168,275.675675676,37998.539084
86,5578.37837838,5.57837837838,777.957633397,278.918918919,38897.8816699
87,5643.24324324,5.64324324324,796.154857649,282.162162162,39807.7428825
88,5708.10810811,5.70810810811,814.562454436,285.405405405,40728.1227218
89,5772.97297297,5.77297297297,833.180423757,288.648648649,41659.0211878
