,Time(s),RNA,Protein
0,0.0,0.0,0.0
1,64.8648648649,0.648648648649,1.0518626755
2,129.72972973,1.2972972973,4.20745070123
3,194.594594595,1.94594594595,9.46676407212
4,259.459459459,2.59459459459,16.8298027882
5,324.324324324,3.24324324324,26.2965668569
6,389.189189189,3.89189189189,37.867056277
7,454.054054054,4.54054054054,51.5412710436
8,518.918918919,5.18918918919,67.3192111565
9,583.783783784,5.83783783784,85.2008766157
10,648.648648649,6.48648648649,105.186267421
11,713.513513514,7.13513513514,127.275383573
12,778.378378378,7.78378378378,151.468225072
13,843.243243243,8.43243243243,177.764791916
14,908.108108108,9.08108108108,206.165084107
15,972.972972973,9.72972972973,236.669101645
16,1037.83783784,10.3783783784,269.276844529
17,1102.7027027,11.027027027,303.988312759
18,1167.56756757,11.6756756757,340.803506335
19,1232.43243243,12.3243243243,379.722425258
20,1297.2972973,12.972972973,420.745069528
21,1362.16216216,13.6216216216,463.871439143
22,1427.02702703,14.2702702703,509.101534105
23,1491.89189189,14.9189189189,556.435354414
24,1556.75675676,15.5675675676,605.872900068
25,1621.62162162,16.2162162162,657.414171069
26,1686.48648649,16.8648648649,711.059167444
27,1751.35135135,17.5135135135,766.807889169
28,1816.21621622,18.1621621622,824.66033624
29,1881.08108108,18.8108108108,884.616508658
30,1945.94594595,19.4594594595,946.676406423
31,2010.81081081,20.1081081081,1010.84002953
32,2075.67567568,20.7567567568,1077.10737799
33,2140.54054054,21.4054054054,1145.4784518
34,2205.40540541,22.0540540541,1215.95325095
35,2270.27027027,22.7027027027,1288.53177545
36,2335.13513514,23.3513513514,1363.21402529
37,2400.0,24.0,1440.00000049
38,2464.86486486,24.6486486486,1518.88970103
39,2529.72972973,25.2972972973,1599.88312691
40,2594.59459459,25.9459459459,1682.98027814
41,2659.45945946,26.5945945946,1768.18115472
42,2724.32432432,27.2432432432,1855.48575665
43,2789.18918919,27.8918918919,1944.89408392
44,2854.05405405,28.5405405405,2036.40613654
45,2918.91891892,29.1891891892,2130.02191451
46,2983.78378378,29.8378378378,2225.74141782
47,3048.64864865,30.4864864865,2323.56464648
48,3113.51351351,31.1351351351,2423.49160049
49,3178.37837838,31.7837837838,2525.52227984
50,3243.24324324,32.4324324324,2629.65668454
51,3308.10810811,33.0810810811,2735.89481459
52,3372.97297297,33.7297297297,2844.23666998
53,3437.83783784,34.3783783784,2954.68225072
54,3502.7027027,35.027027027,3067.23155681
55,3567.56756757,35.6756756757,3181.88458825
56,3632.43243243,36.3243243243,3298.64134503
57,3697.2972973,36.972972973,3417.50182715
58,3762.16216216,37.6216216216,3538.46603463
59,3827.02702703,38.2702702703,3661.53396745
60,3891.89189189,38.9189189189,3786.70562562
61,3956.75675676,39.5675675676,3913.98100913
62,4021.62162162,40.2162162162,4043.36011799
63,4086.48648649,40.8648648649,4174.8429522
64,4151.35135135,41.5135135135,4308.42951176
65,4216.21621622,42.1621621622,4444.11979666
66,4281.08108108,42.8108108108,4581.91380691
67,4345.94594595,43.4594594595,4721.8115425
68,4410.81081081,44.1081081081,4863.81300345
69,4475.67567568,44.7567567568,5007.91818973
70,4540.54054054,45.4054054054,5154.12710137
71,4605.40540541,46.0540540541,5302.43973835
72,4670.27027027,46.7027027027,5452.85610068
73,4735.13513514,47.3513513514,5605.37618836
74,4800.0,48.0,5760.00000138
75,4864.86486486,48.6486486486,5916.72753975
76,4929.72972973,49.2972972973,6075.55880347
77,4994.59459459,49.9459459459,6236.49379253
78,5059.45945946,50.5945945946,6399.53250694
79,5124.32432432,51.2432432432,6564.6749467
80,5189.18918919,51.8918918919,6731.9211118
81,5254.05405405,52.5405405405,6901.27100225
82,5318.91891892,53.1891891892,7072.72461805
83,5383.78378378,53.8378378378,7246.28195919
84,5448.64864865,54.4864864865,7421.94302568
85,5513.51351351,55.1351351351,7599.70781752
86,5578.37837838,55.7837837838,7779.5763347
87,5643.24324324,56.4324324324,7961.54857723
88,5708.10810811,57.0810810811,8145.62454511
89,5772.97297297,57.7297297297,8331.80423833
90,5837.83783784,58.3783783784,8520.0876569
91,5902.7027027,59.027027027,8710.47480082
92,5967.56756757,59.6756756757,8902.96567009
93,6032.43243243,60.3243243243,9097.5602647
94,6097.2972973,60.972972973,9294.25858466
95,6162.16216216,61.6216216216,9493.06062996
96,6227.02702703,62.2702702703,9693.96640061
97,6291.89189189,62.9189189189,9896.97589661
98,6356.75675676,63.5675675676,10102.089118
99,6421.62162162,64.2162162162,10309.3060646
100,6486.48648649,64.8648648649,10518.6267367
101,6551.35135135,65.5135135135,10730.0511341
102,6616.21621622,66.1621621622,10943.5792568
103,6681.08108108,66.8108108108,11159.2111049
104,6745.94594595,67.4594594595,11376.9466783
105,6810.81081081,68.1081081081,11596.7859771
106,6875.67567568,68.7567567568,11818.7290012
107,6940.54054054,69.4054054054,12042.7757507
108,7005.40540541,70.0540540541,12268.9262255
109,7070.27027027,70.7027027027,12497.1804256
110,7135.13513514,71.3513513514,12727.5383511
111,7200.0,72.0,12960.000002
112,7264.86486486,72.6486486486,13194.5653782
113,7329.72972973,73.2972972973,13431.2344797
114,7394.59459459,73.9459459459,13670.0073066
115,7459.45945946,74.5945945946,13910.8838589
116,7524.32432432,75.2432432432,14153.8641365
117,7589.18918919,75.8918918919,14398.9481394
118,7654.05405405,76.5405405405,14646.1358677
119,7718.91891892,77.1891891892,14895.4273213
120,7783.78378378,77.8378378378,15146.8225003
121,7848.64864865,78.4864864865,15400.3214046
122,7913.51351351,79.1351351351,15655.9240343
123,7978.37837838,79.7837837838,15913.6303893
124,8043.24324324,80.4324324324,16173.4404696
125,8108.10810811,81.0810810811,16435.3542754
126,8172.97297297,81.7297297297,16699.3718064
127,8237.83783784,82.3783783784,16965.4930628
128,8302.7027027,83.027027027,17233.7180446
129,8367.56756757,83.6756756757,17504.0467517
130,8432.43243243,84.3243243243,17776.4791841
131,8497.2972973,84.972972973,18051.0153419
132,8562.16216216,85.6216216216,18327.655225
133,8627.02702703,86.2702702703,18606.3988335
134,8691.89189189,86.9189189189,18887.2461673
135,8756.75675676,87.5675675676,19170.1972265
136,8821.62162162,88.2162162162,19455.252011
137,8886.48648649,88.8648648649,19742.4105209
138,8951.35135135,89.5135135135,20031.6727561
139,9016.21621622,90.1621621622,20323.0387167
140,9081.08108108,90.8108108108,20616.5084026
141,9145.94594595,91.4594594595,20912.0818138
142,9210.81081081,92.1081081081,21209.7589504
143,9275.67567568,92.7567567568,21509.5398124
144,9340.54054054,93.4054054054,21811.4243997
145,9405.40540541,94.0540540541,22115.4127123
