,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,4.18582690347e+188
1,64.8648648649,6.42839906813,20.9114706115,-0.0837424042903,-0.0243965748723,4.41831466517e+188
2,129.72972973,12.742008365,83.1472588951,-0.397064351011,-0.263794149667,4.66371518729e+188
3,194.594594595,18.9428775939,185.969471346,-0.935866433902,-0.964157226066,4.92274570097e+188
4,259.459459459,25.033019903,328.653372683,-1.69612235625,-2.36706423131,5.19616324645e+188
5,324.324324324,31.0144126785,510.487104744,-2.67387734561,-4.70980121876,5.48476680178e+188
6,389.189189189,36.8889979511,730.77153957,-3.86524734104,-8.2254108421,5.78940014615e+188
7,454.054054054,42.6586829006,988.820094336,-5.26641798267,-13.1427540429,6.11095382282e+188
8,518.918918919,48.3253407415,1283.95840706,-6.87364284138,-19.6866181483,6.45036797905e+188
9,583.783783784,53.8908111215,1615.52421275,-8.68324262188,-28.0777581542,6.80863465288e+188
10,648.648648649,59.3569006568,1982.8671366,-10.6916040919,-38.5329656677,7.18679982715e+188
11,713.513513514,64.7253840093,2385.34828984,-12.8951779273,-51.265203607,7.58596889378e+188
12,778.378378378,69.9980042446,2822.34016672,-15.2904779973,-66.4836405548,8.00730929541e+188
13,843.243243243,75.176473268,3293.22647623,-17.8740804911,-84.3937068512,8.45205332131e+188
14,908.108108108,80.262472749,3797.40181417,-20.6426220696,-105.197203896,8.92150364758e+188
15,972.972972973,85.2576531026,4334.27202745,-23.5928019029,-129.092182718,9.41702744811e+188
16,1037.83783784,90.1636376097,4903.25274175,-26.7213734292,-156.273434757,9.94008369073e+188
17,1102.7027027,94.9820165604,5503.77145409,-30.0251560683,-186.93179434,1.04921842364e+189
18,1167.56756757,99.7143561844,6135.26432211,-33.5010173608,-221.25520892,1.10749570522e+189
19,1232.43243243,104.362191289,6797.17881794,-37.1458876926,-259.427854452,1.16900931742e+189
20,1297.2972973,108.927030638,7488.97178755,-40.9567495349,-301.630782285,1.23393893685e+189
21,1362.16216216,113.410356855,8210.10948609,-44.9306376414,-348.041907363,1.30247478816e+189
22,1427.02702703,117.813625273,8960.06799243,-49.0646413465,-398.835870066,1.37481671343e+189
23,1491.89189189,122.13826553,9738.33263811,-53.355901373,-454.184226547,1.4511765539e+189
24,1556.75675676,126.385682255,10544.3977539,-57.8016084631,-514.255533225,1.53177739444e+189
25,1621.62162162,130.557253356,11377.7672962,-62.3990068015,-579.215137952,1.61685543956e+189
26,1686.48648649,134.65433365,12237.9535297,-67.1453867548,-649.225619163,1.70665930616e+189
27,1751.35135135,138.678253904,13124.4773767,-72.0380867872,-724.446669404,1.80145112355e+189
